Nutrient,Unit,2-3,4-8,9-13,14-18,19-30,31-50,51-70,71_and_over,2-18,19_and_over,Total_2_years_and_over,Category,Gender
Energy(a),(kJ),6044.1,7637.6,9209.4,10186,11003.7,10219.9,9344.7,8174,8635.8,9954.5,9654.8,Energy(a),Males
Moisture(b),(g),1551.8,1757.8,2102.1,2624.3,3429.1,3256.3,2907.7,2367.6,2077.3,3110,2875.3,Moisture(b),Males
Protein,(g),57.5,69.2,86.4,101.2,117.2,107.7,97.5,82.6,82,104.6,99.4,Macronutrients,Males
Total Fat(c),(g),49.8,64.8,80.4,88.1,92.5,86.3,78.6,66.9,74.3,83.7,81.5,Macronutrients,Males
Saturated fat,(g),21.8,27.7,34,36.4,34.7,32.5,29.4,26.6,31.4,31.5,31.5,Macronutrients,Males
Monounsaturated fat,(g),17.5,23.3,29.4,32.8,36,33.5,30.5,24.5,27.1,32.3,31.2,Macronutrients,Males
Polyunsaturated fat(c),(g),6.3,8.4,10.5,11.6,14.1,13.2,11.8,9.6,9.7,12.7,12,Macronutrients,Males
  Linoleic acid,(g),5.1,7.1,8.8,9.8,11.8,11,9.7,7.8,8.1,10.5,10,Macronutrients,Males
  Alpha-Linolenic acid,(g),0.9,1,1.3,1.4,1.6,1.6,1.5,1.3,1.2,1.6,1.5,Macronutrients,Males
Total long chain omega 3 fatty acids,(mg),139.4,119.2,138.1,191.2,324.2,256.8,352.8,273.1,147.1,301.9,266.8,Macronutrients,Males
Trans fatty acids,(mg),1042,1340.9,1627.4,1885.1,1725.4,1631,1509.1,1442.2,1543.5,1600,1587.2,Macronutrients,Males
Carbohydrate(c),(g),184.3,233,273.9,297.1,297.2,263.9,233.8,219.4,257.5,258.8,258.5,Macronutrients,Males
Total sugars,(g),94.3,110.7,125.4,134.1,131,119.4,101,101.8,119.7,115.2,116.2,Macronutrients,Males
Starch,(g),88.2,120.4,146.1,160.5,159,137,125.2,112.4,135.5,136.5,136.3,Macronutrients,Males
Dietary Fibre,(g),17,20.1,22.8,22.4,24.4,24.9,24.8,25.1,21.2,24.8,24,Macronutrients,Males
Alcohol(d),(g),0,0,0.1,2,14.4,19.7,22.6,14.2,0.6,18.7,14.6,Macronutrients,Males
Preformed Vitamin A,(µg),280.9,298,334.6,341.1,348.1,321.1,391.9,386.8,319.2,354.3,346.3,Vitamins,Males
Pro Vitamin A,(µg),1852.2,2679.1,2648.8,2487.8,3116.1,3038,3255.8,3429.5,2518.2,3157.7,3012.4,Vitamins,Males
      Vitamin A retinol equivalent,(µg),586.9,742.9,774.2,754.3,866.1,826.3,933.6,957.5,737.2,879.5,847.1,Vitamins,Males
Thiamin (B1),(mg),1.3,1.7,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.8,1.8,Vitamins,Males
Riboflavin (B2),(mg),1.8,1.9,2.1,2.1,2.4,2.2,1.9,1.8,2,2.1,2.1,Vitamins,Males
Niacin (B3),(mg),13.8,18.2,22.3,24.6,31.6,28.9,25.9,21.9,20.7,28,26.3,Vitamins,Males
Niacin equivalent,(mg),24.8,31.7,39,44,54.4,49.3,44.4,37.5,36.5,47.9,45.3,Vitamins,Males
"Folate, natural",(µg),219.1,241.1,275.2,286.7,316.8,309.6,301.9,288.6,261.6,307.1,296.7,Vitamins,Males
Folic acid,(µg),165.8,244.8,263.1,279.8,229.3,225.4,218.4,237.4,250.6,225.5,231.2,Vitamins,Males
Total Folates,(µg),385.1,486.3,538.7,567.2,546.4,535.5,520.7,526.5,512.7,533,528.4,Vitamins,Males
Folate equivalent,(µg),496.3,650.2,714.9,754.5,699.9,686.5,667,685.6,680.5,684,683.2,Vitamins,Males
Vitamin B6,(mg),0.9,1.1,1.3,1.4,2.2,1.8,1.5,1.3,1.2,1.7,1.6,Vitamins,Males
Vitamin B12,(µg),3.7,3.6,4.3,5.2,5.9,5.3,4.9,4.4,4.3,5.3,5,Vitamins,Males
Vitamin C,(mg),78.3,88.7,99.6,103.9,116.8,110.6,107.1,100,95,110.1,106.6,Vitamins,Males
Vitamin E,(mg),6.1,8.2,9.4,10.4,12.4,11.7,10.4,9.3,8.9,11.3,10.7,Vitamins,Males
Calcium,(mg),775,805.1,900.1,924.6,954.3,910.8,780.8,726.4,864,865.8,865.4,Minerals,Males
Iodine,(µg),149.3,166.6,184.9,202.2,212.5,198.9,181.1,171.5,180,194.3,191.1,Minerals,Males
Iron,(mg),7.9,9.6,11.6,12.5,13.5,12.7,12.2,11.6,10.8,12.6,12.2,Minerals,Males
Magnesium,(mg),216.1,245,286.8,314.5,390.6,392.6,364.4,315.7,273.6,376.5,353.1,Minerals,Males
Phosphorus,(mg),1050.5,1215.1,1434.5,1577.1,1774.5,1703.3,1577,1392.7,1363.1,1653.5,1587.5,Minerals,Males
Potassium,(mg),2104.7,2298.4,2690.1,2830,3279.9,3305.8,3144.2,2889.9,2543.5,3212.3,3060.3,Minerals,Males
Selenium,(µg),46.8,62.7,77.3,92.4,118.4,104.8,97.4,80,73.5,103.5,96.7,Minerals,Males
Sodium(e),(mg),1516.6,2235.9,2656.5,3116.8,3120.2,2915.4,2509.8,2216.7,2521.8,2779.2,2720.7,Minerals,Males
Zinc,(mg),7.3,8.7,10.5,12.8,13.5,12.9,12.1,10.5,10.2,12.6,12,Minerals,Males
Caffeine,(mg),2,5.6,19.2,52.1,104.1,187.4,188.4,147.6,22.1,163.8,131.6,Other,Males
Cholesterol,(mg),157.6,211.4,258.3,326.4,382.6,354.3,332.7,284.1,251,347.9,325.9,Other,Males
Energy(a),(kJ),5850.2,6427.6,7984.8,8114.3,7863.1,7539.6,7268.1,6569.9,7333.6,7420.3,7401.6,Energy(a),Females
Moisture(b),(g),1367.2,1594.9,2009.8,2201.8,2618.5,2764.4,2721.8,2263.5,1871.6,2660.9,2490.4,Moisture(b),Females
Protein,(g),56,57.4,73.7,76.5,78.1,79.7,77.9,71.5,67.8,77.9,75.7,Macronutrients,Females
Total Fat(c),(g),48.8,53.3,70.2,73.1,69.9,65.3,62,55.6,63.8,64.2,64.1,Macronutrients,Females
Saturated fat,(g),22.2,22.7,29.2,29.5,26.7,24.4,22.5,21.3,26.6,24,24.6,Macronutrients,Females
Monounsaturated fat,(g),16.8,19.2,26,27.5,26.4,25,24,20.2,23.4,24.5,24.2,Macronutrients,Females
Polyunsaturated fat(c),(g),5.7,7,9.4,10.4,11,10.3,9.9,8.8,8.6,10.2,9.8,Macronutrients,Females
  Linoleic acid,(g),4.7,5.8,7.9,8.8,9.3,8.5,8.1,7.1,7.2,8.4,8.1,Macronutrients,Females
  Alpha-Linolenic acid,(g),0.8,0.9,1.1,1.2,1.3,1.3,1.3,1.2,1.1,1.3,1.2,Macronutrients,Females
Total long chain omega 3 fatty acids,(mg),87.8,110.2,129.6,137.7,177.7,266.5,323.4,252.3,121.5,261.3,231.2,Macronutrients,Females
Trans fatty acids,(mg),1087.3,1044.6,1347.6,1302.5,1293.1,1187.7,1125,1133.8,1219.2,1186.9,1193.9,Macronutrients,Females
Carbohydrate(c),(g),177.2,199.4,238,235.3,213.7,196.5,183.6,172.3,219.3,193.8,199.3,Macronutrients,Females
Total sugars,(g),88.7,94.8,115.3,109.2,99,91.1,87,84.4,104.7,90.9,93.9,Macronutrients,Females
Starch,(g),86.8,102.8,121,124.2,112.4,103,94.2,85.7,112.8,100.5,103.2,Macronutrients,Females
Dietary Fibre,(g),15.3,17.3,19.2,19.3,20.3,20.7,22.2,21,18.2,21.1,20.5,Macronutrients,Females
Alcohol(d),(g),0,0.1,0,0.4,7,10.3,13.3,8,0.1,10.2,8,Macronutrients,Females
Preformed Vitamin A,(µg),276,245.4,297.4,274.2,259.9,244.6,331.2,320.6,273.8,281.9,280.1,Vitamins,Females
Pro Vitamin A,(µg),1702.9,1987.9,2440.9,2109.2,2937.9,3320.2,3459,3201,2135.2,3260.7,3017.6,Vitamins,Females
      Vitamin A retinol equivalent,(µg),557.5,575.3,703.1,624.8,748.8,797.4,907.3,853.6,628.3,824.7,782.3,Vitamins,Females
Thiamin (B1),(mg),1.3,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.5,1.3,1.4,Vitamins,Females
Riboflavin (B2),(mg),1.7,1.6,1.8,1.7,1.8,1.7,1.6,1.6,1.7,1.7,1.7,Vitamins,Females
Niacin (B3),(mg),13.9,15.4,17.7,19.4,20.5,20.6,19.7,17.9,17.1,20,19.4,Vitamins,Females
Niacin equivalent,(mg),24.6,26.6,32.1,34.4,35.5,36,34.6,31.6,30.3,35,34,Vitamins,Females
"Folate, natural",(µg),202,203.2,244.8,239.1,257.4,266.6,283.1,263.7,226.5,269,259.8,Vitamins,Females
Folic acid,(µg),172.9,221,209.4,191.8,166.8,157.2,155.2,172.9,203.6,160.6,169.9,Vitamins,Females
Total Folates,(µg),375.1,424.5,454.6,431.2,424.5,424.2,438.7,437,430.4,429.9,430,Vitamins,Females
Folate equivalent,(µg),491,572.5,594.8,559.6,536.3,529.4,542.7,552.8,566.8,537.5,543.8,Vitamins,Females
Vitamin B6,(mg),0.9,0.8,1,1.2,1.4,1.3,1.3,1.1,1,1.3,1.2,Vitamins,Females
Vitamin B12,(µg),3.5,3,3.7,3.7,3.7,3.8,4,3.8,3.5,3.8,3.8,Vitamins,Females
Vitamin C,(mg),65.3,77.5,94.9,101.9,96.4,93.7,97.3,88.2,88.5,94.7,93.4,Vitamins,Females
Vitamin E,(mg),5.9,6.6,8.8,8.9,10,9.9,10,8.3,7.9,9.8,9.4,Vitamins,Females
Calcium,(mg),768.3,675.8,805.7,740.7,765.3,758.1,740.7,674.2,746.5,744.9,745.2,Minerals,Females
Iodine,(µg),150.2,144.6,172.1,159.2,152.6,153.2,148.1,146.5,158.2,150.8,152.4,Minerals,Females
Iron,(mg),7.1,8,9.1,9.2,9.7,9.6,9.9,9.2,8.6,9.7,9.4,Minerals,Females
Magnesium,(mg),201.4,207.1,248,266.1,291.9,308.8,313.3,270.7,236.1,301.9,287.6,Minerals,Females
Phosphorus,(mg),1017.6,1016.7,1245,1278.5,1282.4,1301.6,1294.7,1212.9,1163.4,1284.9,1258.7,Minerals,Females
Potassium,(mg),1972.9,1966.4,2432.5,2465.5,2509.7,2659.6,2699.9,2508.6,2256.6,2620,2541.5,Minerals,Females
Selenium,(µg),44.5,54.2,66.8,70.2,76.5,80.5,81.5,71.4,61.6,78.9,75.1,Minerals,Females
Sodium(e),(mg),1448.3,1867.5,2262.8,2399.2,2303.4,2153.9,1972.1,1772.5,2094.9,2090.4,2091.4,Minerals,Females
Zinc,(mg),7,7.1,8.7,8.7,9.2,9.4,9.8,9,8,9.4,9.1,Minerals,Females
Caffeine,(mg),2.1,6.2,13.8,42.8,101.5,171.1,177.8,154.2,18.4,155.5,125.9,Other,Females
Cholesterol,(mg),163.4,178.3,244.3,247.6,252.3,262.5,249.8,242.8,217.2,254.3,246.3,Other,Females
Energy(a),(kJ),5951.2,7053.4,8603.5,9158.6,9465.5,8871.9,8289.6,7295.2,7998,8671.7,8522.4,Energy(a),Persons
Moisture(b),(g),1463.4,1679.2,2056.4,2414.7,3032.1,3008.9,2813.3,2310.6,1976.6,2882.6,2681.9,Moisture(b),Persons
Protein,(g),56.8,63.5,80.1,89,98,93.6,87.5,76.5,75,91,87.5,Macronutrients,Persons
Total Fat(c),(g),49.3,59.3,75.4,80.7,81.4,75.8,70.2,60.7,69.1,73.8,72.8,Macronutrients,Persons
Saturated fat,(g),22,25.3,31.6,33,30.8,28.4,25.9,23.7,29.1,27.7,28,Macronutrients,Persons
Monounsaturated fat,(g),17.2,21.3,27.7,30.2,31.3,29.2,27.2,22.2,25.3,28.4,27.7,Macronutrients,Persons
Polyunsaturated fat(c),(g),6,7.7,9.9,11,12.6,11.7,10.8,9.2,9.1,11.4,10.9,Macronutrients,Persons
  Linoleic acid,(g),4.9,6.5,8.4,9.3,10.6,9.8,8.9,7.4,7.7,9.4,9.1,Macronutrients,Persons
  Alpha-Linolenic acid,(g),0.8,1,1.2,1.3,1.5,1.4,1.4,1.3,1.1,1.4,1.3,Macronutrients,Persons
Total long chain omega 3 fatty acids,(mg),114.7,114.8,133.9,164.6,252.4,261.7,337.9,261.7,134.6,281.4,248.9,Macronutrients,Persons
Trans fatty acids,(mg),1063.7,1197.8,1489,1596.2,1513.7,1408.1,1314,1273.2,1384.6,1390.9,1389.5,Macronutrients,Persons
Carbohydrate(c),(g),180.9,216.8,256.1,266.5,256.3,230,208.3,193.6,238.8,225.9,228.8,Macronutrients,Persons
Total sugars,(g),91.6,103,120.4,121.7,115.3,105.2,93.9,92.2,112.4,102.9,105,Macronutrients,Persons
Starch,(g),87.5,111.9,133.6,142.5,136.2,119.9,109.5,97.8,124.4,118.3,119.6,Macronutrients,Persons
Dietary Fibre,(g),16.1,18.7,21,20.8,22.4,22.8,23.5,22.9,19.7,22.9,22.2,Macronutrients,Persons
Alcohol(d),(g),0,0,0.1,1.2,10.8,15,17.8,10.8,0.4,14.4,11.3,Macronutrients,Persons
Preformed Vitamin A,(µg),278.5,272.6,316.2,307.9,304.9,282.6,361,350.6,297,317.6,313,Vitamins,Persons
Pro Vitamin A,(µg),1780.6,2345.4,2545.9,2300.1,3028.8,3179.9,3359.1,3304.3,2330.6,3209.8,3015,Vitamins,Persons
      Vitamin A retinol equivalent,(µg),572.8,662,739,690.1,808.6,811.8,920.2,900.6,683.8,851.8,814.6,Vitamins,Persons
Thiamin (B1),(mg),1.3,1.6,1.7,1.7,1.7,1.5,1.5,1.5,1.6,1.5,1.6,Vitamins,Persons
Riboflavin (B2),(mg),1.8,1.8,1.9,1.9,2.1,1.9,1.8,1.6,1.9,1.9,1.9,Vitamins,Persons
Niacin (B3),(mg),13.8,16.9,20,22,26.2,24.7,22.8,19.7,18.9,23.9,22.8,Vitamins,Persons
Niacin equivalent,(mg),24.7,29.2,35.6,39.2,45.1,42.6,39.4,34.2,33.5,41.4,39.6,Vitamins,Persons
"Folate, natural",(µg),210.9,222.8,260.2,263.1,287.7,288,292.4,274.9,244.4,287.8,278.2,Vitamins,Persons
Folic acid,(µg),169.2,233.3,236.5,236.1,198.6,191.1,186.3,202.1,227.6,192.6,200.4,Vitamins,Persons
Total Folates,(µg),380.3,456.5,497.1,499.7,486.7,479.5,479.1,477.5,472.4,480.8,478.9,Vitamins,Persons
Folate equivalent,(µg),493.7,612.7,655.5,657.9,619.8,607.5,603.8,612.8,624.8,609.9,613.2,Vitamins,Persons
Vitamin B6,(mg),0.9,1,1.2,1.3,1.8,1.5,1.4,1.2,1.1,1.5,1.4,Vitamins,Persons
Vitamin B12,(µg),3.6,3.3,4,4.4,4.8,4.6,4.5,4.1,3.9,4.5,4.4,Vitamins,Persons
Vitamin C,(mg),72.1,83.3,97.3,102.9,106.8,102.1,102.1,93.6,91.8,102.3,100,Vitamins,Persons
Vitamin E,(mg),6,7.4,9.1,9.7,11.2,10.8,10.2,8.8,8.4,10.5,10,Vitamins,Persons
Calcium,(mg),771.8,742.6,853.4,833.4,861.7,834,760.5,697.8,806.4,804.6,805,Minerals,Persons
Iodine,(µg),149.7,156,178.6,180.9,183.2,175.9,164.3,157.8,169.3,172.3,171.6,Minerals,Persons
Iron,(mg),7.5,8.8,10.4,10.8,11.6,11.1,11,10.3,9.7,11.1,10.8,Minerals,Persons
Magnesium,(mg),209.1,226.7,267.6,290.5,342.2,350.5,338.5,291,255.2,338.7,320.2,Minerals,Persons
Phosphorus,(mg),1034.7,1119.3,1340.7,1429,1533.5,1501.3,1433.6,1294.2,1265.3,1466.9,1422.2,Minerals,Persons
Potassium,(mg),2041.6,2138.1,2562.6,2649.3,2902.7,2980.8,2918.5,2681,2403,2912.5,2799.6,Minerals,Persons
Selenium,(µg),45.7,58.6,72.1,81.4,97.9,92.6,89.4,75.3,67.7,91,85.8,Minerals,Persons
Sodium(e),(mg),1483.8,2058,2461.7,2760.9,2720.2,2532.5,2236.6,1973.4,2312.7,2430.5,2404.4,Minerals,Persons
Zinc,(mg),7.2,7.9,9.6,10.8,11.4,11.1,10.9,9.7,9.2,11,10.6,Minerals,Persons
Caffeine,(mg),2,5.9,16.5,47.5,102.8,179.2,183,151.2,20.3,159.6,128.7,Other,Persons
Cholesterol,(mg),160.4,195.4,251.4,287.3,318.8,308.2,290.6,261.5,234.4,300.5,285.9,Other,Persons
