Nutrient,Unit,Category,Gender,Nutrient_standard,age_group,recommended_amount,age_start,age_end,nutrient_code,nutrient_name,unit,category,nutrient_id
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,2-3,6044.1,2,3,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,2-3,57.5,2,3,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,2-3,49.8,2,3,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,2-3,184.3,2,3,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,2-3,94.3,2,3,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,2-3,17.0,2,3,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,2-3,1.3,2,3,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,2-3,1.8,2,3,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,2-3,13.8,2,3,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,2-3,385.1,2,3,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,2-3,0.9,2,3,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,2-3,78.3,2,3,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,2-3,6.1,2,3,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,2-3,775.0,2,3,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,2-3,7.9,2,3,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,2-3,216.1,2,3,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,2-3,2104.7,2,3,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,2-3,1516.6,2,3,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,2-3,7.3,2,3,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,2-3,5850.2,2,3,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,2-3,56.0,2,3,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,2-3,48.8,2,3,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,2-3,177.2,2,3,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,2-3,88.7,2,3,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,2-3,15.3,2,3,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,2-3,1.3,2,3,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,2-3,1.7,2,3,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,2-3,13.9,2,3,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,2-3,375.1,2,3,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,2-3,0.9,2,3,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,2-3,65.3,2,3,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,2-3,5.9,2,3,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,2-3,768.3,2,3,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,2-3,7.1,2,3,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,2-3,201.4,2,3,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,2-3,1972.9,2,3,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,2-3,1448.3,2,3,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,2-3,7.0,2,3,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,2-3,5951.2,2,3,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,2-3,56.8,2,3,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,2-3,49.3,2,3,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,2-3,180.9,2,3,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,2-3,91.6,2,3,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,2-3,16.1,2,3,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,2-3,1.3,2,3,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,2-3,1.8,2,3,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,2-3,13.8,2,3,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,2-3,380.3,2,3,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,2-3,0.9,2,3,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,2-3,72.1,2,3,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,2-3,6.0,2,3,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,2-3,771.8,2,3,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,2-3,7.5,2,3,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,2-3,209.1,2,3,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,2-3,2041.6,2,3,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,2-3,1483.8,2,3,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,2-3,7.2,2,3,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,4-8,7637.6,4,8,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,4-8,69.2,4,8,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,4-8,64.8,4,8,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,4-8,233.0,4,8,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,4-8,110.7,4,8,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,4-8,20.1,4,8,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,4-8,1.7,4,8,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,4-8,1.9,4,8,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,4-8,18.2,4,8,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,4-8,486.3,4,8,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,4-8,1.1,4,8,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,4-8,88.7,4,8,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,4-8,8.2,4,8,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,4-8,805.1,4,8,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,4-8,9.6,4,8,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,4-8,245.0,4,8,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,4-8,2298.4,4,8,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,4-8,2235.9,4,8,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,4-8,8.7,4,8,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,4-8,6427.6,4,8,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,4-8,57.4,4,8,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,4-8,53.3,4,8,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,4-8,199.4,4,8,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,4-8,94.8,4,8,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,4-8,17.3,4,8,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,4-8,1.5,4,8,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,4-8,1.6,4,8,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,4-8,15.4,4,8,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,4-8,424.5,4,8,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,4-8,0.8,4,8,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,4-8,77.5,4,8,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,4-8,6.6,4,8,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,4-8,675.8,4,8,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,4-8,8.0,4,8,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,4-8,207.1,4,8,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,4-8,1966.4,4,8,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,4-8,1867.5,4,8,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,4-8,7.1,4,8,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,4-8,7053.4,4,8,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,4-8,63.5,4,8,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,4-8,59.3,4,8,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,4-8,216.8,4,8,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,4-8,103.0,4,8,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,4-8,18.7,4,8,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,4-8,1.6,4,8,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,4-8,1.8,4,8,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,4-8,16.9,4,8,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,4-8,456.5,4,8,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,4-8,1.0,4,8,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,4-8,83.3,4,8,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,4-8,7.4,4,8,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,4-8,742.6,4,8,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,4-8,8.8,4,8,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,4-8,226.7,4,8,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,4-8,2138.1,4,8,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,4-8,2058.0,4,8,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,4-8,7.9,4,8,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,9-13,9209.4,9,13,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,9-13,86.4,9,13,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,9-13,80.4,9,13,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,9-13,273.9,9,13,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,9-13,125.4,9,13,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,9-13,22.8,9,13,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,9-13,1.9,9,13,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,9-13,2.1,9,13,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,9-13,22.3,9,13,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,9-13,538.7,9,13,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,9-13,1.3,9,13,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,9-13,99.6,9,13,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,9-13,9.4,9,13,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,9-13,900.1,9,13,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,9-13,11.6,9,13,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,9-13,286.8,9,13,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,9-13,2690.1,9,13,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,9-13,2656.5,9,13,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,9-13,10.5,9,13,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,9-13,7984.8,9,13,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,9-13,73.7,9,13,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,9-13,70.2,9,13,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,9-13,238.0,9,13,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,9-13,115.3,9,13,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,9-13,19.2,9,13,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,9-13,1.5,9,13,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,9-13,1.8,9,13,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,9-13,17.7,9,13,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,9-13,454.6,9,13,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,9-13,1.0,9,13,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,9-13,94.9,9,13,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,9-13,8.8,9,13,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,9-13,805.7,9,13,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,9-13,9.1,9,13,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,9-13,248.0,9,13,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,9-13,2432.5,9,13,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,9-13,2262.8,9,13,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,9-13,8.7,9,13,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,9-13,8603.5,9,13,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,9-13,80.1,9,13,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,9-13,75.4,9,13,fat_total_g,Total Fat(c),(g),Macronutrients,3
