diet_sex,diet_category_group,diet_category,diet_age_group,diet_estimate_000
Males,Usual daily consumption of vegetables,3 serves,55–64,281.2
Males,Usual daily consumption of vegetables,4 serves,55–64,101.6
Males,Usual daily consumption of vegetables,5 serves,55–64,60.7
Males,Usual daily consumption of vegetables,6 or more serves,55–64,27.4
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,55–64,1445.2
Males,Usual daily consumption of vegetables,Average number of serves of fruit,55–64,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,55–64,2.1
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",55–64,1445.2
Females,Daily consumption of fruit,Met recommendation,55–64,739.5
Females,Daily consumption of fruit,Did not meet recommendation,55–64,788.1
Females,Daily consumption of fruit,Total females aged 18 years and over,55–64,1529.0
Females,Daily consumption of vegetables,Met recommendation,55–64,173.4
Females,Daily consumption of vegetables,Did not meet recommendation,55–64,1347.7
Females,Daily consumption of vegetables,Total females aged 18 years and over,55–64,1529.0
Females,Daily consumption of fruit and vegetables,Met recommendation,55–64,101.7
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,55–64,1421.9
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,55–64,1529.0
Females,Usual daily consumption of fruit,Does not eat fruit,55–64,153.4
Females,Usual daily consumption of fruit,Less than 1 serve,55–64,29.6
Females,Usual daily consumption of fruit,1 serve,55–64,612.2
Females,Usual daily consumption of fruit,2 serves,55–64,428.9
Females,Usual daily consumption of fruit,3 serves,55–64,242.9
Females,Usual daily consumption of fruit,4 serves,55–64,34.1
Females,Usual daily consumption of fruit,5 or more serves,55–64,28.4
Females,Usual daily consumption of fruit,Total females aged 18 years and over,55–64,1529.0
Females,Usual daily consumption of vegetables,Does not eat vegetables,55–64,28.9
Females,Usual daily consumption of vegetables,Less than 1 serve,55–64,15.8
Females,Usual daily consumption of vegetables,1 serve,55–64,357.1
Females,Usual daily consumption of vegetables,2 serves,55–64,506.9
Females,Usual daily consumption of vegetables,3 serves,55–64,275.9
Females,Usual daily consumption of vegetables,4 serves,55–64,164.0
Females,Usual daily consumption of vegetables,5 serves,55–64,98.5
Females,Usual daily consumption of vegetables,6 or more serves,55–64,72.6
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,55–64,1529.0
Females,Usual daily consumption of vegetables,Average number of serves of fruit,55–64,1.6
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,55–64,2.5
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",55–64,1529.0
Persons,Daily consumption of fruit,Met recommendation,65 years and over,2310.5
Persons,Daily consumption of fruit,Did not meet recommendation,65 years and over,1881.4
Persons,Daily consumption of fruit,Total persons aged 18 years and over,65 years and over,4199.8
Persons,Daily consumption of vegetables,Met recommendation,65 years and over,396.2
Persons,Daily consumption of vegetables,Did not meet recommendation,65 years and over,3797.0
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,65 years and over,4199.8
Persons,Daily consumption of fruit and vegetables,Met recommendation,65 years and over,286.2
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,65 years and over,3905.8
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,65 years and over,4199.8
Persons,Usual daily consumption of fruit,Does not eat fruit,65 years and over,382.8
Persons,Usual daily consumption of fruit,Less than 1 serve,65 years and over,95.2
Persons,Usual daily consumption of fruit,1 serve,65 years and over,1400.3
Persons,Usual daily consumption of fruit,2 serves,65 years and over,1380.0
Persons,Usual daily consumption of fruit,3 serves,65 years and over,678.2
Persons,Usual daily consumption of fruit,4 serves,65 years and over,158.2
Persons,Usual daily consumption of fruit,5 or more serves,65 years and over,102.8
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,65 years and over,4199.8
Persons,Usual daily consumption of vegetables,Does not eat vegetables,65 years and over,59.9
Persons,Usual daily consumption of vegetables,Less than 1 serve,65 years and over,44.9
Persons,Usual daily consumption of vegetables,1 serve,65 years and over,967.1
Persons,Usual daily consumption of vegetables,2 serves,65 years and over,1113.5
Persons,Usual daily consumption of vegetables,3 serves,65 years and over,996.6
Persons,Usual daily consumption of vegetables,4 serves,65 years and over,571.6
Persons,Usual daily consumption of vegetables,5 serves,65 years and over,302.0
Persons,Usual daily consumption of vegetables,6 or more serves,65 years and over,133.2
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,65 years and over,4199.8
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,65 years and over,1.8
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,65 years and over,2.6
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",65 years and over,4199.8
Males,Daily consumption of fruit,Met recommendation,65 years and over,1026.9
Males,Daily consumption of fruit,Did not meet recommendation,65 years and over,959.0
Males,Daily consumption of fruit,Total males aged 18 years and over,65 years and over,1983.6
Males,Daily consumption of vegetables,Met recommendation,65 years and over,138.6
Males,Daily consumption of vegetables,Did not meet recommendation,65 years and over,1852.1
Males,Daily consumption of vegetables,Total males aged 18 years and over,65 years and over,1983.6
Males,Daily consumption of fruit and vegetables,Met recommendation,65 years and over,98.6
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,65 years and over,1883.9
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,65 years and over,1983.6
Males,Usual daily consumption of fruit,Does not eat fruit,65 years and over,222.0
Males,Usual daily consumption of fruit,Less than 1 serve,65 years and over,65.2
Males,Usual daily consumption of fruit,1 serve,65 years and over,669.6
Males,Usual daily consumption of fruit,2 serves,65 years and over,600.3
Males,Usual daily consumption of fruit,3 serves,65 years and over,264.1
Males,Usual daily consumption of fruit,4 serves,65 years and over,95.0
Males,Usual daily consumption of fruit,5 or more serves,65 years and over,69.3
Males,Usual daily consumption of fruit,Total males aged 18 years and over,65 years and over,1983.6
Males,Usual daily consumption of vegetables,Does not eat vegetables,65 years and over,26.4
Males,Usual daily consumption of vegetables,Less than 1 serve,65 years and over,37.4
Males,Usual daily consumption of vegetables,1 serve,65 years and over,540.1
Males,Usual daily consumption of vegetables,2 serves,65 years and over,532.2
Males,Usual daily consumption of vegetables,3 serves,65 years and over,420.4
Males,Usual daily consumption of vegetables,4 serves,65 years and over,261.9
Males,Usual daily consumption of vegetables,5 serves,65 years and over,104.8
Males,Usual daily consumption of vegetables,6 or more serves,65 years and over,63.8
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,65 years and over,1983.6
Males,Usual daily consumption of vegetables,Average number of serves of fruit,65 years and over,1.7
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,65 years and over,2.5
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",65 years and over,1983.6
Females,Daily consumption of fruit,Met recommendation,65 years and over,1285.8
Females,Daily consumption of fruit,Did not meet recommendation,65 years and over,926.8
Females,Daily consumption of fruit,Total females aged 18 years and over,65 years and over,2207.1
Females,Daily consumption of vegetables,Met recommendation,65 years and over,257.6
Females,Daily consumption of vegetables,Did not meet recommendation,65 years and over,1950.7
Females,Daily consumption of vegetables,Total females aged 18 years and over,65 years and over,2207.1
Females,Daily consumption of fruit and vegetables,Met recommendation,65 years and over,186.5
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,65 years and over,2023.9
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,65 years and over,2207.1
Females,Usual daily consumption of fruit,Does not eat fruit,65 years and over,161.8
Females,Usual daily consumption of fruit,Less than 1 serve,65 years and over,28.1
Females,Usual daily consumption of fruit,1 serve,65 years and over,731.8
Females,Usual daily consumption of fruit,2 serves,65 years and over,777.5
Females,Usual daily consumption of fruit,3 serves,65 years and over,407.0
Females,Usual daily consumption of fruit,4 serves,65 years and over,62.8
Females,Usual daily consumption of fruit,5 or more serves,65 years and over,36.9
Females,Usual daily consumption of fruit,Total females aged 18 years and over,65 years and over,2207.1
Females,Usual daily consumption of vegetables,Does not eat vegetables,65 years and over,28.7
Females,Usual daily consumption of vegetables,Less than 1 serve,65 years and over,11.9
Females,Usual daily consumption of vegetables,1 serve,65 years and over,429.8
Females,Usual daily consumption of vegetables,2 serves,65 years and over,586.2
Females,Usual daily consumption of vegetables,3 serves,65 years and over,575.8
Females,Usual daily consumption of vegetables,4 serves,65 years and over,314.1
Females,Usual daily consumption of vegetables,5 serves,65 years and over,200.3
Females,Usual daily consumption of vegetables,6 or more serves,65 years and over,61.2
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,65 years and over,2207.1
Females,Usual daily consumption of vegetables,Average number of serves of fruit,65 years and over,1.8
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,65 years and over,2.7
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",65 years and over,2207.1
Persons,Daily consumption of fruit,Met recommendation,25–44,2931.7
Persons,Daily consumption of fruit,Did not meet recommendation,25–44,4306.6
Persons,Daily consumption of fruit,Total persons aged 18 years and over,25–44,7244.8
Persons,Daily consumption of vegetables,Met recommendation,25–44,417.9
Persons,Daily consumption of vegetables,Did not meet recommendation,25–44,6823.5
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,25–44,7244.8
Persons,Daily consumption of fruit and vegetables,Met recommendation,25–44,260.1
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,25–44,6981.0
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,25–44,7244.8
Persons,Usual daily consumption of fruit,Does not eat fruit,25–44,864.5
Persons,Usual daily consumption of fruit,Less than 1 serve,25–44,230.6
Persons,Usual daily consumption of fruit,1 serve,25–44,3223.6
Persons,Usual daily consumption of fruit,2 serves,25–44,1967.1
Persons,Usual daily consumption of fruit,3 serves,25–44,709.7
Persons,Usual daily consumption of fruit,4 serves,25–44,162.6
Persons,Usual daily consumption of fruit,5 or more serves,25–44,89.1
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,25–44,7244.8
Persons,Usual daily consumption of vegetables,Does not eat vegetables,25–44,135.0
Persons,Usual daily consumption of vegetables,Less than 1 serve,25–44,118.6
Persons,Usual daily consumption of vegetables,1 serve,25–44,2110.1
Persons,Usual daily consumption of vegetables,2 serves,25–44,2227.4
Persons,Usual daily consumption of vegetables,3 serves,25–44,1403.6
Persons,Usual daily consumption of vegetables,4 serves,25–44,686.7
Persons,Usual daily consumption of vegetables,5 serves,25–44,381.2
Persons,Usual daily consumption of vegetables,6 or more serves,25–44,172.0
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,25–44,7244.8
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,25–44,1.5
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,25–44,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",25–44,7244.8
Males,Daily consumption of fruit,Met recommendation,25–44,1368.3
Males,Daily consumption of fruit,Did not meet recommendation,25–44,2214.6
Males,Daily consumption of fruit,Total males aged 18 years and over,25–44,3581.2
Males,Daily consumption of vegetables,Met recommendation,25–44,68.0
Males,Daily consumption of vegetables,Did not meet recommendation,25–44,3509.8
Males,Daily consumption of vegetables,Total males aged 18 years and over,25–44,3581.2
Males,Daily consumption of fruit and vegetables,Met recommendation,25–44,43.9
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,25–44,3540.6
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,25–44,3581.2
Males,Usual daily consumption of fruit,Does not eat fruit,25–44,507.9
Males,Usual daily consumption of fruit,Less than 1 serve,25–44,149.8
Males,Usual daily consumption of fruit,1 serve,25–44,1549.9
Males,Usual daily consumption of fruit,2 serves,25–44,925.8
Males,Usual daily consumption of fruit,3 serves,25–44,346.2
Males,Usual daily consumption of fruit,4 serves,25–44,68.3
Males,Usual daily consumption of fruit,5 or more serves,25–44,39.2
Males,Usual daily consumption of fruit,Total males aged 18 years and over,25–44,3581.2
Males,Usual daily consumption of vegetables,Does not eat vegetables,25–44,81.6
Males,Usual daily consumption of vegetables,Less than 1 serve,25–44,78.6
Males,Usual daily consumption of vegetables,1 serve,25–44,1120.9
Males,Usual daily consumption of vegetables,2 serves,25–44,1130.6
Males,Usual daily consumption of vegetables,3 serves,25–44,640.7
Males,Usual daily consumption of vegetables,4 serves,25–44,318.8
Males,Usual daily consumption of vegetables,5 serves,25–44,134.2
Males,Usual daily consumption of vegetables,6 or more serves,25–44,68.0
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,25–44,3581.2
Males,Usual daily consumption of vegetables,Average number of serves of fruit,25–44,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,25–44,2.2
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",25–44,3581.2
Females,Daily consumption of fruit,Met recommendation,25–44,1561.7
Females,Daily consumption of fruit,Did not meet recommendation,25–44,2091.8
Females,Daily consumption of fruit,Total females aged 18 years and over,25–44,3661.5
Females,Daily consumption of vegetables,Met recommendation,25–44,345.2
Females,Daily consumption of vegetables,Did not meet recommendation,25–44,3307.0
Females,Daily consumption of vegetables,Total females aged 18 years and over,25–44,3661.5
Females,Daily consumption of fruit and vegetables,Met recommendation,25–44,214.7
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,25–44,3438.8
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,25–44,3661.5
Females,Usual daily consumption of fruit,Does not eat fruit,25–44,356.3
Females,Usual daily consumption of fruit,Less than 1 serve,25–44,78.1
Females,Usual daily consumption of fruit,1 serve,25–44,1671.8
Females,Usual daily consumption of fruit,2 serves,25–44,1043.0
Females,Usual daily consumption of fruit,3 serves,25–44,373.8
Females,Usual daily consumption of fruit,4 serves,25–44,92.0
Females,Usual daily consumption of fruit,5 or more serves,25–44,46.0
Females,Usual daily consumption of fruit,Total females aged 18 years and over,25–44,3661.5
Females,Usual daily consumption of vegetables,Does not eat vegetables,25–44,65.1
Females,Usual daily consumption of vegetables,Less than 1 serve,25–44,46.4
Females,Usual daily consumption of vegetables,1 serve,25–44,991.0
Females,Usual daily consumption of vegetables,2 serves,25–44,1086.7
Females,Usual daily consumption of vegetables,3 serves,25–44,761.4
Females,Usual daily consumption of vegetables,4 serves,25–44,362.2
Females,Usual daily consumption of vegetables,5 serves,25–44,244.1
Females,Usual daily consumption of vegetables,6 or more serves,25–44,104.1
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,25–44,3661.5
Females,Usual daily consumption of vegetables,Average number of serves of fruit,25–44,1.5
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,25–44,2.4
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",25–44,3661.5
Persons,Daily consumption of fruit,Met recommendation,45–64,2692.9
Persons,Daily consumption of fruit,Did not meet recommendation,45–64,3500.6
Persons,Daily consumption of fruit,Total persons aged 18 years and over,45–64,6199.6
Persons,Daily consumption of vegetables,Met recommendation,45–64,404.7
Persons,Daily consumption of vegetables,Did not meet recommendation,45–64,5793.5
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,45–64,6199.6
Persons,Daily consumption of fruit and vegetables,Met recommendation,45–64,244.8
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,45–64,5957.9
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,45–64,6199.6
Persons,Usual daily consumption of fruit,Does not eat fruit,45–64,813.7
Persons,Usual daily consumption of fruit,Less than 1 serve,45–64,200.7
Persons,Usual daily consumption of fruit,1 serve,45–64,2494.6
Persons,Usual daily consumption of fruit,2 serves,45–64,1716.4
Persons,Usual daily consumption of fruit,3 serves,45–64,730.7
Persons,Usual daily consumption of fruit,4 serves,45–64,144.7
Persons,Usual daily consumption of fruit,5 or more serves,45–64,101.2
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,45–64,6199.6
Persons,Usual daily consumption of vegetables,Does not eat vegetables,45–64,90.6
Persons,Usual daily consumption of vegetables,Less than 1 serve,45–64,104.1
Persons,Usual daily consumption of vegetables,1 serve,45–64,1783.4
Persons,Usual daily consumption of vegetables,2 serves,45–64,1981.9
Persons,Usual daily consumption of vegetables,3 serves,45–64,1176.8
Persons,Usual daily consumption of vegetables,4 serves,45–64,559.9
Persons,Usual daily consumption of vegetables,5 serves,45–64,324.8
Persons,Usual daily consumption of vegetables,6 or more serves,45–64,178.1
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,45–64,6199.6
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,45–64,1.5
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,45–64,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",45–64,6199.6
Males,Daily consumption of fruit,Met recommendation,45–64,1238.0
Males,Daily consumption of fruit,Did not meet recommendation,45–64,1794.6
Males,Daily consumption of fruit,Total males aged 18 years and over,45–64,3037.2
Males,Daily consumption of vegetables,Met recommendation,45–64,61.6
Males,Daily consumption of vegetables,Did not meet recommendation,45–64,2972.5
Males,Daily consumption of vegetables,Total males aged 18 years and over,45–64,3037.2
Males,Daily consumption of fruit and vegetables,Met recommendation,45–64,36.6
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,45–64,3000.4
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,45–64,3037.2
Males,Usual daily consumption of fruit,Does not eat fruit,45–64,496.6
Males,Usual daily consumption of fruit,Less than 1 serve,45–64,95.8
Males,Usual daily consumption of fruit,1 serve,45–64,1209.4
Males,Usual daily consumption of fruit,2 serves,45–64,756.5
Males,Usual daily consumption of fruit,3 serves,45–64,328.8
Males,Usual daily consumption of fruit,4 serves,45–64,97.4
Males,Usual daily consumption of fruit,5 or more serves,45–64,67.6
Males,Usual daily consumption of fruit,Total males aged 18 years and over,45–64,3037.2
Males,Usual daily consumption of vegetables,Does not eat vegetables,45–64,54.2
Males,Usual daily consumption of vegetables,Less than 1 serve,45–64,81.3
Males,Usual daily consumption of vegetables,1 serve,45–64,997.4
Males,Usual daily consumption of vegetables,2 serves,45–64,962.6
Males,Usual daily consumption of vegetables,3 serves,45–64,534.9
Males,Usual daily consumption of vegetables,4 serves,45–64,237.0
Males,Usual daily consumption of vegetables,5 serves,45–64,102.2
Males,Usual daily consumption of vegetables,6 or more serves,45–64,61.6
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,45–64,3037.2
Males,Usual daily consumption of vegetables,Average number of serves of fruit,45–64,1.5
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,45–64,2.1
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",45–64,3037.2
Females,Daily consumption of fruit,Met recommendation,45–64,1459.7
Females,Daily consumption of fruit,Did not meet recommendation,45–64,1700.6
Females,Daily consumption of fruit,Total females aged 18 years and over,45–64,3166.1
Females,Daily consumption of vegetables,Met recommendation,45–64,341.6
Females,Daily consumption of vegetables,Did not meet recommendation,45–64,2830.1
Females,Daily consumption of vegetables,Total females aged 18 years and over,45–64,3166.1
Females,Daily consumption of fruit and vegetables,Met recommendation,45–64,211.0
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,45–64,2956.1
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,45–64,3166.1
Females,Usual daily consumption of fruit,Does not eat fruit,45–64,323.6
Females,Usual daily consumption of fruit,Less than 1 serve,45–64,93.0
Females,Usual daily consumption of fruit,1 serve,45–64,1285.7
Females,Usual daily consumption of fruit,2 serves,45–64,967.3
Females,Usual daily consumption of fruit,3 serves,45–64,403.5
Females,Usual daily consumption of fruit,4 serves,45–64,50.2
Females,Usual daily consumption of fruit,5 or more serves,45–64,43.5
Females,Usual daily consumption of fruit,Total females aged 18 years and over,45–64,3166.1
Females,Usual daily consumption of vegetables,Does not eat vegetables,45–64,35.4
Females,Usual daily consumption of vegetables,Less than 1 serve,45–64,27.4
Females,Usual daily consumption of vegetables,1 serve,45–64,786.6
Females,Usual daily consumption of vegetables,2 serves,45–64,1014.5
Females,Usual daily consumption of vegetables,3 serves,45–64,641.8
Females,Usual daily consumption of vegetables,4 serves,45–64,322.8
Females,Usual daily consumption of vegetables,5 serves,45–64,219.9
Females,Usual daily consumption of vegetables,6 or more serves,45–64,117.8
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,45–64,3166.1
Females,Usual daily consumption of vegetables,Average number of serves of fruit,45–64,1.6
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,45–64,2.5
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",45–64,3166.1
Persons,Daily consumption of fruit,Met recommendation,65–74,1254.5
Persons,Daily consumption of fruit,Did not meet recommendation,65–74,1148.9
Persons,Daily consumption of fruit,Total persons aged 18 years and over,65–74,2404.7
Persons,Daily consumption of vegetables,Met recommendation,65–74,186.8
Persons,Daily consumption of vegetables,Did not meet recommendation,65–74,2213.7
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,65–74,2404.7
Persons,Daily consumption of fruit and vegetables,Met recommendation,65–74,140.4
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,65–74,2263.2
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,65–74,2404.7
Persons,Usual daily consumption of fruit,Does not eat fruit,65–74,241.6
Persons,Usual daily consumption of fruit,Less than 1 serve,65–74,69.8
Persons,Usual daily consumption of fruit,1 serve,65–74,845.7
Persons,Usual daily consumption of fruit,2 serves,65–74,762.8
Persons,Usual daily consumption of fruit,3 serves,65–74,350.0
Persons,Usual daily consumption of fruit,4 serves,65–74,88.0
Persons,Usual daily consumption of fruit,5 or more serves,65–74,48.8
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,65–74,2404.7
Persons,Usual daily consumption of vegetables,Does not eat vegetables,65–74,37.7
Persons,Usual daily consumption of vegetables,Less than 1 serve,65–74,26.8
Persons,Usual daily consumption of vegetables,1 serve,65–74,579.1
Persons,Usual daily consumption of vegetables,2 serves,65–74,623.4
Persons,Usual daily consumption of vegetables,3 serves,65–74,581.2
Persons,Usual daily consumption of vegetables,4 serves,65–74,329.7
Persons,Usual daily consumption of vegetables,5 serves,65–74,140.9
Persons,Usual daily consumption of vegetables,6 or more serves,65–74,85.9
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,65–74,2404.7
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,65–74,1.7
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,65–74,2.6
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",65–74,2404.7
Males,Daily consumption of fruit,Met recommendation,65–74,568.6
Males,Daily consumption of fruit,Did not meet recommendation,65–74,582.9
Males,Daily consumption of fruit,Total males aged 18 years and over,65–74,1149.1
Males,Daily consumption of vegetables,Met recommendation,65–74,58.4
Males,Daily consumption of vegetables,Did not meet recommendation,65–74,1094.5
Males,Daily consumption of vegetables,Total males aged 18 years and over,65–74,1149.1
Males,Daily consumption of fruit and vegetables,Met recommendation,65–74,45.3
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,65–74,1103.5
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,65–74,1149.1
Males,Usual daily consumption of fruit,Does not eat fruit,65–74,149.0
Males,Usual daily consumption of fruit,Less than 1 serve,65–74,56.0
Males,Usual daily consumption of fruit,1 serve,65–74,386.5
Males,Usual daily consumption of fruit,2 serves,65–74,330.0
Males,Usual daily consumption of fruit,3 serves,65–74,135.7
Males,Usual daily consumption of fruit,4 serves,65–74,62.2
Males,Usual daily consumption of fruit,5 or more serves,65–74,42.4
Males,Usual daily consumption of fruit,Total males aged 18 years and over,65–74,1149.1
Males,Usual daily consumption of vegetables,Does not eat vegetables,65–74,21.6
Males,Usual daily consumption of vegetables,Less than 1 serve,65–74,19.9
Males,Usual daily consumption of vegetables,1 serve,65–74,329.3
Males,Usual daily consumption of vegetables,2 serves,65–74,293.4
Males,Usual daily consumption of vegetables,3 serves,65–74,252.0
Males,Usual daily consumption of vegetables,4 serves,65–74,141.0
Males,Usual daily consumption of vegetables,5 serves,65–74,50.7
Males,Usual daily consumption of vegetables,6 or more serves,65–74,47.9
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,65–74,1149.1
Males,Usual daily consumption of vegetables,Average number of serves of fruit,65–74,1.7
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,65–74,2.4
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",65–74,1149.1
Females,Daily consumption of fruit,Met recommendation,65–74,682.8
Females,Daily consumption of fruit,Did not meet recommendation,65–74,568.2
Females,Daily consumption of fruit,Total females aged 18 years and over,65–74,1254.2
Females,Daily consumption of vegetables,Met recommendation,65–74,132.2
Females,Daily consumption of vegetables,Did not meet recommendation,65–74,1125.0
Females,Daily consumption of vegetables,Total females aged 18 years and over,65–74,1254.2
Females,Daily consumption of fruit and vegetables,Met recommendation,65–74,89.6
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,65–74,1160.9
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,65–74,1254.2
Females,Usual daily consumption of fruit,Does not eat fruit,65–74,88.2
Females,Usual daily consumption of fruit,Less than 1 serve,65–74,19.1
Females,Usual daily consumption of fruit,1 serve,65–74,459.1
Females,Usual daily consumption of fruit,2 serves,65–74,438.4
Females,Usual daily consumption of fruit,3 serves,65–74,217.6
Females,Usual daily consumption of fruit,4 serves,65–74,28.4
Females,Usual daily consumption of fruit,5 or more serves,65–74,8.1
Females,Usual daily consumption of fruit,Total females aged 18 years and over,65–74,1254.2
Females,Usual daily consumption of vegetables,Does not eat vegetables,65–74,12.5
Females,Usual daily consumption of vegetables,Less than 1 serve,65–74,8.0
Females,Usual daily consumption of vegetables,1 serve,65–74,249.9
Females,Usual daily consumption of vegetables,2 serves,65–74,331.3
Females,Usual daily consumption of vegetables,3 serves,65–74,323.6
Females,Usual daily consumption of vegetables,4 serves,65–74,190.8
Females,Usual daily consumption of vegetables,5 serves,65–74,89.3
Females,Usual daily consumption of vegetables,6 or more serves,65–74,35.1
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,65–74,1254.2
Females,Usual daily consumption of vegetables,Average number of serves of fruit,65–74,1.7
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,65–74,2.7
