smoke_sex,smoke_category_group,smoke_category,smoke_age_group,smoke_estimate_000
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45 years and over,99.3
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45 years and over,105.7
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,45 years and over,241.8
Males,Usual number of cigarettes smoked per day,Total current daily smoker,45 years and over,651.1
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45 years and over,15.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45 years and over,118.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45 years and over,206.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45 years and over,320.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45 years and over,4702.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,45 years and over,5019.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",45 years and over,5019.6
Females,Usual number of days smoked per week,1–2 days,45 years and over,26.9
Females,Usual number of days smoked per week,3–6 days,45 years and over,15.2
Females,Usual number of days smoked per week,Daily,45 years and over,492.8
Females,Usual number of days smoked per week,Total current daily or weekly smoker,45 years and over,538.7
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45 years and over,58.2
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45 years and over,114.3
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45 years and over,145.5
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45 years and over,107.3
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,45 years and over,68.5
Females,Usual number of cigarettes smoked per day,Total current daily smoker,45 years and over,492.8
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45 years and over,11.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45 years and over,44.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45 years and over,184.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45 years and over,229.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45 years and over,5145.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,45 years and over,5373.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",45 years and over,5373.9
Persons,Usual number of days smoked per week,1–2 days,Total 18 years and over,146.7
Persons,Usual number of days smoked per week,3–6 days,Total 18 years and over,54.7
Persons,Usual number of days smoked per week,Daily,Total 18 years and over,2108.9
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,Total 18 years and over,2298.7
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 18 years and over,405.8
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 18 years and over,448.0
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 18 years and over,469.1
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 18 years and over,334.2
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 18 years and over,445.6
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,Total 18 years and over,2108.9
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 18 years and over,11.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 18 years and over,797.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 18 years and over,2051.1
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 18 years and over,2846.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 18 years and over,16963.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,Total 18 years and over,19806.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",Total 18 years and over,19806.8
Males,Usual number of days smoked per week,1–2 days,Total 18 years and over,83.8
Males,Usual number of days smoked per week,3–6 days,Total 18 years and over,28.4
Males,Usual number of days smoked per week,Daily,Total 18 years and over,1225.7
Males,Usual number of days smoked per week,Total current daily or weekly smoker,Total 18 years and over,1333.8
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 18 years and over,242.2
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 18 years and over,235.7
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 18 years and over,233.7
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 18 years and over,191.7
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 18 years and over,329.6
Males,Usual number of cigarettes smoked per day,Total current daily smoker,Total 18 years and over,1225.7
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 18 years and over,12.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 18 years and over,501.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 18 years and over,1200.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 18 years and over,1686.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 18 years and over,8019.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,Total 18 years and over,9712.9
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",Total 18 years and over,9712.9
Females,Usual number of days smoked per week,1–2 days,Total 18 years and over,67.4
Females,Usual number of days smoked per week,3–6 days,Total 18 years and over,24.2
Females,Usual number of days smoked per week,Daily,Total 18 years and over,874.1
Females,Usual number of days smoked per week,Total current daily or weekly smoker,Total 18 years and over,969.3
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 18 years and over,162.6
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 18 years and over,211.0
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 18 years and over,231.3
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 18 years and over,145.7
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 18 years and over,123.7
Females,Usual number of cigarettes smoked per day,Total current daily smoker,Total 18 years and over,874.1
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 18 years and over,10.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 18 years and over,293.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 18 years and over,859.8
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 18 years and over,1149.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 18 years and over,8936.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,Total 18 years and over,10083.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",Total 18 years and over,10083.3
Persons,Usual number of days smoked per week,1–2 days,Total 15 years and over,152.6
Persons,Usual number of days smoked per week,3–6 days,Total 15 years and over,53.2
Persons,Usual number of days smoked per week,Daily,Total 15 years and over,2119.0
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,Total 15 years and over,2324.8
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 15 years and over,412.0
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 15 years and over,454.4
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 15 years and over,462.1
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 15 years and over,334.2
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 15 years and over,445.6
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,Total 15 years and over,2119.0
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 15 years and over,11.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 15 years and over,864.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 15 years and over,2148.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 15 years and over,3012.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 15 years and over,17712.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,Total 15 years and over,20726.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",Total 15 years and over,20726.3
Males,Usual number of days smoked per week,1–2 days,Total 15 years and over,90.0
Males,Usual number of days smoked per week,3–6 days,Total 15 years and over,27.3
Males,Usual number of days smoked per week,Daily,Total 15 years and over,1237.1
Males,Usual number of days smoked per week,Total current daily or weekly smoker,Total 15 years and over,1340.7
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 15 years and over,245.9
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 15 years and over,239.5
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 15 years and over,232.4
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 15 years and over,191.7
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 15 years and over,329.6
Males,Usual number of cigarettes smoked per day,Total current daily smoker,Total 15 years and over,1237.1
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 15 years and over,12.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 15 years and over,526.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 15 years and over,1235.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 15 years and over,1774.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 15 years and over,8424.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,Total 15 years and over,10191.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",Total 15 years and over,10191.0
Females,Usual number of days smoked per week,1–2 days,Total 15 years and over,67.1
Females,Usual number of days smoked per week,3–6 days,Total 15 years and over,30.4
Females,Usual number of days smoked per week,Daily,Total 15 years and over,882.2
Females,Usual number of days smoked per week,Total current daily or weekly smoker,Total 15 years and over,976.5
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,Total 15 years and over,173.2
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,Total 15 years and over,218.1
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,Total 15 years and over,231.3
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,Total 15 years and over,145.7
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,Total 15 years and over,123.7
Females,Usual number of cigarettes smoked per day,Total current daily smoker,Total 15 years and over,882.2
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,Total 15 years and over,10.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,Total 15 years and over,329.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,Total 15 years and over,913.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,Total 15 years and over,1237.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,Total 15 years and over,9292.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,Total 15 years and over,10530.8
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",Total 15 years and over,10530.8
Persons,Smoker status,Current smoker,15–17,20.6
Males,Smoker status,Current smoker,15–17,10.4
Females,Smoker status,Current smoker,15–17,8.8
Persons,Smoker status,Current smoker,18–24,241.0
Males,Smoker status,Current smoker,18–24,144.7
Females,Smoker status,Current smoker,18–24,98.7
Persons,Smoker status,Current smoker,25–34,474.2
Males,Smoker status,Current smoker,25–34,291.7
Females,Smoker status,Current smoker,25–34,182.5
Persons,Smoker status,Current smoker,35–44,431.6
Males,Smoker status,Current smoker,35–44,269.0
Females,Smoker status,Current smoker,35–44,163.9
Persons,Smoker status,Current smoker,45–54,495.8
Males,Smoker status,Current smoker,45–54,282.6
Females,Smoker status,Current smoker,45–54,210.0
Persons,Smoker status,Current smoker,55–64,474.6
Males,Smoker status,Current smoker,55–64,263.7
Females,Smoker status,Current smoker,55–64,212.4
Persons,Smoker status,Current smoker,65 years and over,296.6
Males,Smoker status,Current smoker,65 years and over,160.4
Females,Smoker status,Current smoker,65 years and over,135.5
Persons,Smoker status,Current smoker,15–24,253.6
Males,Smoker status,Current smoker,15–24,146.6
Females,Smoker status,Current smoker,15–24,109.3
Persons,Smoker status,Current smoker,15–44,1168.1
Males,Smoker status,Current smoker,15–44,704.2
Females,Smoker status,Current smoker,15–44,455.1
Persons,Smoker status,Current smoker,25–44,899.3
Males,Smoker status,Current smoker,25–44,559.6
Females,Smoker status,Current smoker,25–44,346.4
Persons,Smoker status,Current smoker,45–64,971.7
Males,Smoker status,Current smoker,45–64,549.5
Females,Smoker status,Current smoker,45–64,419.5
Persons,Smoker status,Current smoker,65–74,220.7
Males,Smoker status,Current smoker,65–74,112.8
Females,Smoker status,Current smoker,65–74,110.7
Persons,Smoker status,Current smoker,75 years and over,73.1
Males,Smoker status,Current smoker,75 years and over,42.7
Females,Smoker status,Current smoker,75 years and over,29.5
Persons,Smoker status,Current smoker,18–44,1142.8
Males,Smoker status,Current smoker,18–44,699.2
Females,Smoker status,Current smoker,18–44,447.2
Persons,Smoker status,Current smoker,45 years and over,1259.1
Males,Smoker status,Current smoker,45 years and over,704.1
Females,Smoker status,Current smoker,45 years and over,556.6
Persons,Smoker status,Current smoker,Total 18 years and over,2407.9
Males,Smoker status,Current smoker,Total 18 years and over,1405.1
Females,Smoker status,Current smoker,Total 18 years and over,998.2
Persons,Smoker status,Current smoker,Total 15 years and over,2424.9
Males,Smoker status,Current smoker,Total 15 years and over,1413.6
Females,Smoker status,Current smoker,Total 15 years and over,1014.4
Persons,Smoker status,Ex-smoker,15–17,27.9
Persons,Smoker status,Never smoked,15–17,870.0
Persons,Smoker status,Total persons aged 15 years and over,15–17,924.8
Males,Smoker status,Ex-smoker,15–17,8.4
Males,Smoker status,Never smoked,15–17,457.5
Females,Smoker status,Ex-smoker,15–17,10.2
Females,Smoker status,Never smoked,15–17,418.8
Persons,Smoker status,Ex-smoker,18–24,205.3
Persons,Smoker status,Never smoked,18–24,1720.8
Persons,Smoker status,Total persons aged 15 years and over,18–24,2171.9
Males,Smoker status,Ex-smoker,18–24,106.3
Males,Smoker status,Never smoked,18–24,864.1
Females,Smoker status,Ex-smoker,18–24,91.4
Females,Smoker status,Never smoked,18–24,865.2
Persons,Smoker status,Ex-smoker,25–34,749.5
Persons,Smoker status,Never smoked,25–34,2449.7
Persons,Smoker status,Total persons aged 15 years and over,25–34,3686.3
Males,Smoker status,Ex-smoker,25–34,417.6
Males,Smoker status,Never smoked,25–34,1130.3
Females,Smoker status,Ex-smoker,25–34,336.9
Females,Smoker status,Never smoked,25–34,1328.5
Persons,Smoker status,Ex-smoker,35–44,1000.3
Persons,Smoker status,Never smoked,35–44,2121.0
Persons,Smoker status,Total persons aged 15 years and over,35–44,3557.3
Males,Smoker status,Ex-smoker,35–44,565.9
Males,Smoker status,Never smoked,35–44,913.9
Females,Smoker status,Ex-smoker,35–44,438.1
Females,Smoker status,Never smoked,35–44,1209.9
Persons,Smoker status,Ex-smoker,45–54,1003.8
Persons,Smoker status,Never smoked,45–54,1730.5
Persons,Smoker status,Total persons aged 15 years and over,45–54,3226.7
Males,Smoker status,Ex-smoker,45–54,524.3
Males,Smoker status,Never smoked,45–54,774.0
Females,Smoker status,Ex-smoker,45–54,468.7
Females,Smoker status,Never smoked,45–54,962.9
Persons,Smoker status,Ex-smoker,55–64,1089.2
Persons,Smoker status,Never smoked,55–64,1412.6
Persons,Smoker status,Total persons aged 15 years and over,55–64,2973.3
Males,Smoker status,Ex-smoker,55–64,593.5
Males,Smoker status,Never smoked,55–64,595.3
Females,Smoker status,Ex-smoker,55–64,505.0
Females,Smoker status,Never smoked,55–64,815.5
Persons,Smoker status,Ex-smoker,65 years and over,1799.3
Persons,Smoker status,Never smoked,65 years and over,2102.8
Persons,Smoker status,Total persons aged 15 years and over,65 years and over,4199.8
Males,Smoker status,Ex-smoker,65 years and over,1079.1
Males,Smoker status,Never smoked,65 years and over,747.9
Females,Smoker status,Ex-smoker,65 years and over,724.4
Females,Smoker status,Never smoked,65 years and over,1351.5
Persons,Smoker status,Ex-smoker,15–24,228.6
Persons,Smoker status,Never smoked,15–24,2596.5
Persons,Smoker status,Total persons aged 15 years and over,15–24,3086.5
Males,Smoker status,Ex-smoker,15–24,118.8
Males,Smoker status,Never smoked,15–24,1309.2
Females,Smoker status,Ex-smoker,15–24,119.8
Females,Smoker status,Never smoked,15–24,1282.0
Persons,Smoker status,Ex-smoker,15–44,1991.7
Persons,Smoker status,Never smoked,15–44,7167.2
Persons,Smoker status,Total persons aged 15 years and over,15–44,10326.9
Males,Smoker status,Ex-smoker,15–44,1107.0
Males,Smoker status,Never smoked,15–44,3361.9
Females,Smoker status,Ex-smoker,15–44,894.6
Females,Smoker status,Never smoked,15–44,3808.7
Persons,Smoker status,Ex-smoker,25–44,1757.9
Persons,Smoker status,Never smoked,25–44,4582.6
Persons,Smoker status,Total persons aged 15 years and over,25–44,7244.8
Males,Smoker status,Ex-smoker,25–44,987.6
Males,Smoker status,Never smoked,25–44,2045.5
Females,Smoker status,Ex-smoker,25–44,773.2
Females,Smoker status,Never smoked,25–44,2535.4
Persons,Smoker status,Ex-smoker,45–64,2086.4
Persons,Smoker status,Never smoked,45–64,3137.1
Persons,Smoker status,Total persons aged 15 years and over,45–64,6199.6
Males,Smoker status,Ex-smoker,45–64,1117.0
Males,Smoker status,Never smoked,45–64,1366.1
Females,Smoker status,Ex-smoker,45–64,971.1
Females,Smoker status,Never smoked,45–64,1769.5
Persons,Smoker status,Ex-smoker,65–74,1027.0
Persons,Smoker status,Never smoked,65–74,1152.7
Persons,Smoker status,Total persons aged 15 years and over,65–74,2404.7
Males,Smoker status,Ex-smoker,65–74,595.9
Males,Smoker status,Never smoked,65–74,436.9
Females,Smoker status,Ex-smoker,65–74,427.9
Females,Smoker status,Never smoked,65–74,708.7
Persons,Smoker status,Ex-smoker,75 years and over,775.7
Persons,Smoker status,Never smoked,75 years and over,945.7
Persons,Smoker status,Total persons aged 15 years and over,75 years and over,1792.9
Males,Smoker status,Ex-smoker,75 years and over,488.2
Males,Smoker status,Never smoked,75 years and over,303.8
Females,Smoker status,Ex-smoker,75 years and over,292.2
Females,Smoker status,Never smoked,75 years and over,641.6
Persons,Smoker status,Ex-smoker,18–44,1962.1
Persons,Smoker status,Never smoked,18–44,6304.6
Persons,Smoker status,Total persons aged 15 years and over,18–44,9414.7
Males,Smoker status,Ex-smoker,18–44,1086.1
Males,Smoker status,Never smoked,18–44,2902.9
Females,Smoker status,Ex-smoker,18–44,870.7
Females,Smoker status,Never smoked,18–44,3400.0
Persons,Smoker status,Ex-smoker,45 years and over,3893.4
Persons,Smoker status,Never smoked,45 years and over,5242.1
Persons,Smoker status,Total persons aged 15 years and over,45 years and over,10392.0
Males,Smoker status,Ex-smoker,45 years and over,2200.0
Males,Smoker status,Never smoked,45 years and over,2118.4
Females,Smoker status,Ex-smoker,45 years and over,1689.7
Females,Smoker status,Never smoked,45 years and over,3126.5
Persons,Smoker status,Ex-smoker,Total 18 years and over,5863.0
Persons,Smoker status,Never smoked,Total 18 years and over,11541.7
Persons,Smoker status,Total persons aged 15 years and over,Total 18 years and over,19806.8
Males,Smoker status,Ex-smoker,Total 18 years and over,3289.6
Males,Smoker status,Never smoked,Total 18 years and over,5020.1
Females,Smoker status,Ex-smoker,Total 18 years and over,2565.0
Females,Smoker status,Never smoked,Total 18 years and over,6518.5
Persons,Smoker status,Ex-smoker,Total 15 years and over,5882.6
Persons,Smoker status,Never smoked,Total 15 years and over,12411.5
Persons,Smoker status,Total persons aged 15 years and over,Total 15 years and over,20726.3
Males,Smoker status,Ex-smoker,Total 15 years and over,3305.0
Males,Smoker status,Never smoked,Total 15 years and over,5467.5
Females,Smoker status,Ex-smoker,Total 15 years and over,2576.3
Females,Smoker status,Never smoked,Total 15 years and over,6939.0
